class_idx,class_name,ap,num_samples
392,"Telephone dialing, DTMF",0.0022191054859336343,9
188,Trombone,0.002203245395632913,9
116,Coo,0.0021789511988913827,10
253,New-age music,0.002175100105578826,8
118,Caw,0.002117925225589765,9
269,Jingle (music),0.002075199085939434,9
43,Snoring,0.0020712659155104527,9
449,Pour,0.002070425609373816,10
395,Alarm clock,0.0020528646631393964,7
478,Crushing,0.0020480786101029244,7
385,Typewriter,0.0020291042413433393,10
208,Harmonica,0.00201440147418049,8
430,Artillery fire,0.0020057821253895176,7
279,Tender music,0.002004008076761726,10
414,Cash register,0.0019868043228837115,9
62,Finger snapping,0.0019849773821276192,8
181,Glockenspiel,0.0019743183471003867,8
428,Machine gun,0.001949467859174612,6
156,Electronic organ,0.0019370884013822738,8
178,Tubular bells,0.001935357155446053,10
154,Electric piano,0.0019305105636984107,8
485,Squeal,0.0019233953337215478,8
109,"Roaring cats (lions, tigers)",0.0019147161326619525,10
323,Police car (siren),0.0018598490008741126,10
57,Stomach rumble,0.001858349131491392,9
46,Snort,0.0018474773871768088,7
193,Cello,0.00184060843683457,9
482,Ping,0.0018371451460027016,7
105,Quack,0.0018112779073772155,6
1,"Male speech, man speaking",0.001810405081264435,9
508,"Inside, public space",0.0018044849772730093,6
308,"Vehicle horn, car horn, honking",0.0017871015440488439,7
526,Field recording,0.0017679400112776535,7
15,Whispering,0.0017650969199740959,7
250,Flamenco,0.0017459596738568202,8
56,Gargling,0.001732527609439628,9
14,Screaming,0.0016784522867593088,7
447,Squish,0.001660815035054645,8
292,Stream,0.0015936162120942536,6
114,Squawk,0.0015829839308592927,6
432,Fireworks,0.0015822739771204288,7
320,"Ice cream truck, ice cream van",0.0015226217883733987,7
179,Mallet percussion,0.0015217482307720606,7
190,String section,0.0014961799509893513,8
481,"Beep, bleep",0.0014650994126346106,7
515,Static,0.0014280660187816151,7
104,Duck,0.001413825534274107,5
200,Bell,0.0014052793458684484,6
505,Pulse,0.0013895768325055972,6
249,Salsa music,0.0013886822544339496,7
499,Crunch,0.0013869608439483565,6
68,Chatter,0.001220966777436276,4
127,Cricket,0.0011818451943304666,5
93,Pig,0.0010809580134869155,6
